Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
11/30/2008,449168.4082,346486.8583,392057.8893,372357.7858,387903.0609,293009.741,384787.7019,203575.7019,348034.1368,424705.4729,254731.8627,277908.0758,424244.7351,233659.1406,237448.6964,178966.7364,283328.0294,427866.4308,298931.1199,410593.9548,178349.6168
12/31/2008,445931.4898,343690.9357,386593.7398,366452.535,385545.3713,290815.9897,380746.143,201471.9668,345088.9081,422093.3033,252556.3366,275866.4581,420556.1528,232076.0837,234240.4726,174329.7932,281038.5886,423759.9246,296604.3297,406552.7775,177170.4623
1/31/2009,445417.5273,341364.4955,382588.5961,360319.432,383786.0723,288460.6453,377678.4111,199740.2386,342643.6346,421449.8024,250470.2005,275100.4498,419302.5713,231105.7792,231123.2314,173284.9963,281090.5523,421105.1186,292224.4995,406641.9872,176686.4155
2/28/2009,445847.6279,339892.4093,379459.5431,356774.6477,381477.7845,285842.8033,375169.0412,198063.8666,339963.0758,421607.9836,248835.576,273772.1516,420335.0006,230427.3937,228537.4593,174525.4099,281384.6548,419450.1668,285880.4047,407420.3828,176031.7584
3/31/2009,446842.9543,338703.952,376545.978,353603.9155,379092.2348,282723.8385,370607.6579,197010.9545,336975.7077,423765.9937,247617.3049,271197.1069,420662.7838,229709.5608,225952.8975,174663.9723,281432.0651,416590.18,279969.0733,409288.5215,175163.5604
4/30/2009,445127.4061,336391.1201,372678.499,347944.5809,376505.2158,280312.649,364941.5266,195735.9834,334366.0833,423804.3811,246372.4603,267933.2492,419899.6632,228402.8188,223135.8919,173289.4199,278709.6506,412247.5094,277229.596,407633.2146,173758.0724
5/31/2009,442374.1763,334299.0227,369420.1378,340439.8366,374972.1084,278272.8639,359237.1633,194174.7133,330985.6416,422702.2093,245075.862,265426.1575,417310.9086,226356.7026,220051.3209,170645.4156,275463.0274,406522.2718,275027.5422,403085.4803,172733.9421
6/30/2009,439281.7501,332135.1502,366181.7224,332115.8442,374552.8572,276605.6579,355789.8774,192711.5996,326556.9549,420066.8278,243584.5783,263946.8679,415091.5004,224262.1031,216908.3901,168293.8802,270668.395,401947.9508,272264.3106,395826.7481,171825.2791
7/31/2009,437134.6267,330154.3593,364257.0141,327667.5339,373245.7458,274486.6531,354381.6479,191792.226,322106.7986,417603.2465,242297.8477,262101.4647,412412.8868,222352.1804,214451.1358,165114.7647,265460.8282,398082.9861,269373.1376,388346.5324,170999.8108
8/31/2009,435219.1506,328312.5496,361685.7755,325286.7015,372576.263,272675.7168,354176.3031,191098.3749,318389.0686,414961.0882,240956.507,260322.0669,410083.0639,221148.3934,212850.2522,162106.6296,259078.8361,397091.4868,267151.0385,383456.6755,169895.5893
