Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
10/31/2006,457784.4016,359419.4315,395958.4722,367399.1409,421297.5551,332926.8992,408231.0896,199877.0667,368848.0681,458513.1576,276036.8719,295078.7519,454134.7471,241998.3045,248781.6359,165436.2454,316672.2881,446292.0111,321451.3634,384039.3693,160148.9982
11/30/2006,455424.6416,358165.2722,396049.683,368218.4711,420182.2282,331560.7,406804.1827,200466.4806,369218.0188,456341.0731,275757.3399,294918.6128,452651.0163,242091.0348,249059.8391,166948.4423,315773.1987,443960.8582,321141.3775,382473.7615,159899.9446
12/31/2006,453095.1341,356504.8227,396201.8339,368902.9132,418183.5511,329734.8857,405526.9027,200813.8121,369020.9037,453395.3779,275443.7327,294257.715,450482.2005,240906.5078,248752.7686,168105.2401,314157.9518,441393.2698,319895.4293,380783.2093,160470.5738
1/31/2007,450591.9618,356112.5365,396687.7566,369560.0526,414742.5813,327629.694,404836.0542,200918.061,368773.9785,450698.4196,274868.4824,293396.2402,448534.1119,239585.5124,248336.8816,168803.431,311806.3563,439996.5627,318279.9841,379052.3896,159111.9278
2/28/2007,449431.9168,355690.8985,397596.4025,370031.3525,411699.328,326110.5241,404548.2132,201206.1299,368279.4907,449151.4642,274187.3202,292880.2266,445884.7684,239097.1625,247793.9232,169046.5257,310086.6232,439782.8609,316631.6859,376612.1522,158695.8361
3/31/2007,449639.8779,355957.7159,398871.4323,370479.0335,409479.2119,324731.1727,404691.6552,201852.0679,367828.3771,448517.8641,274140.7871,292982.7021,444587.4823,239782.9121,247914.1893,168939.196,309521.6757,439468.3975,316024.3124,374032.4546,159983.0459
4/30/2007,451163.6805,355731.7241,399881.0155,371064.5687,409417.2692,323760.515,405625.1585,202723.8862,367164.2475,448545.7043,274455.197,293220.8077,443942.3035,240474.8017,247816.0279,169104.4736,309705.0944,437291.9217,315646.5251,370995.9427,161854.2599
5/31/2007,452792.6952,354472.9361,399523.4279,371727.3586,408916.5607,322952.6175,406157.4983,203492.6187,365929.7838,448284.8245,275289.8401,292923.687,444293.8414,241001.35,247918.2071,169522.8957,309448.3186,434813.1662,315370.2451,367735.0393,162689.7222
6/30/2007,452915.4834,352118.477,397654.2578,372217.9341,407946.8227,321623.9138,405822.852,204025.5511,364959.9822,447820.014,275088.8089,292427.5168,443768.4578,240954.9549,247608.5391,170543.3942,308554.0896,433422.1634,314583.9978,364338.5887,162328.7945
7/31/2007,451622.6776,348990.604,394559.234,372516.5494,405998.0905,319919.0246,403575.3539,204358.3785,364035.3703,446404.6634,274362.9864,291418.1272,442996.4018,240882.635,246633.8462,171383.3318,307661.9711,433654.501,313610.8587,361315.4084,162270.7691
